"Forecast_date","Forecast_variable","Ensemble_member","value"
2020-09-27,"air_temperature","mem07",27.6719846089681
2020-09-27,"air_temperature","mem08",27.8991956075033
2020-09-27,"air_temperature","mem09",27.6254503885905
2020-09-27,"air_temperature","mem10",27.6373128255209
2020-09-27,"air_temperature","mem11",27.2686630249024
2020-09-27,"air_temperature","mem12",27.7744550069173
2020-09-27,"air_temperature","mem13",27.417492167155
2020-09-27,"air_temperature","mem14",27.3006556193034
2020-09-27,"air_temperature","mem15",27.9784662882487
2020-09-27,"air_temperature","mem16",27.5367853800456
2020-09-27,"air_temperature","mem17",27.3368278503418
2020-09-27,"air_temperature","mem18",27.29140625
2020-09-27,"air_temperature","mem19",27.9882522583008
2020-09-27,"air_temperature","mem20",27.3739016215007
2020-09-27,"air_temperature","mem21",27.5040845235189
2020-09-27,"air_temperature","mem22",27.5859530131022
2020-09-27,"air_temperature","mem23",27.2544876098633
2020-09-27,"air_temperature","mem24",27.8599411010742
2020-09-27,"air_temperature","mem25",27.4405507405599
2020-09-27,"air_temperature","mem26",27.8869237263998
2020-09-27,"air_temperature","mem27",27.984386698405
2020-09-27,"air_temperature","mem28",27.8910245259603
2020-09-27,"air_temperature","mem29",27.2609166463216
2020-09-27,"air_temperature","mem30",28.2528422037761
2020-09-28,"air_temperature","mem01",25.8185897827149
2020-09-28,"air_temperature","mem02",27.0257609049479
2020-09-28,"air_temperature","mem03",27.4903414408366
2020-09-28,"air_temperature","mem04",25.804532623291
2020-09-28,"air_temperature","mem05",27.61904296875
2020-09-28,"air_temperature","mem06",25.7631940205892
2020-09-28,"air_temperature","mem07",27.3551956176758
2020-09-28,"air_temperature","mem08",24.4058993021647
2020-09-28,"air_temperature","mem09",25.4972434997559
2020-09-28,"air_temperature","mem10",26.5968541463216
2020-09-28,"air_temperature","mem11",25.4249168395996
2020-09-28,"air_temperature","mem12",27.1153897603353
2020-09-28,"air_temperature","mem13",25.3476247151693
2020-09-28,"air_temperature","mem14",26.8906888326009
2020-09-28,"air_temperature","mem15",27.2608403523763
2020-09-28,"air_temperature","mem16",27.7254704793294
2020-09-28,"air_temperature","mem17",25.0468180338542
2020-09-28,"air_temperature","mem18",25.7281954447429
2020-09-28,"air_temperature","mem19",28.1089988708496
2020-09-28,"air_temperature","mem20",24.9748792012533
2020-09-28,"air_temperature","mem21",26.5891866048177
2020-09-28,"air_temperature","mem22",25.5273351033529
2020-09-28,"air_temperature","mem23",25.9801714579265
2020-09-28,"air_temperature","mem24",26.1880457560222
2020-09-28,"air_temperature","mem25",26.203806813558
2020-09-28,"air_temperature","mem26",25.7367683410645
2020-09-28,"air_temperature","mem27",27.466881052653
2020-09-28,"air_temperature","mem28",25.5265747070313
2020-09-28,"air_temperature","mem29",26.376294708252
2020-09-28,"air_temperature","mem30",27.799888865153
2020-09-29,"air_temperature","mem01",25.3055651346843
2020-09-29,"air_temperature","mem02",25.4271052042643
2020-09-29,"air_temperature","mem03",27.4857650756836
2020-09-29,"air_temperature","mem04",23.8757110595703
2020-09-29,"air_temperature","mem05",26.9157958984375
2020-09-29,"air_temperature","mem06",26.1198084513347
2020-09-29,"air_temperature","mem07",25.8519340515137
2020-09-29,"air_temperature","mem08",23.8671343485515
2020-09-29,"air_temperature","mem09",24.1304946899414
2020-09-29,"air_temperature","mem10",25.8539672851563
2020-09-29,"air_temperature","mem11",25.6964380900065
2020-09-29,"air_temperature","mem12",25.9822415669759
2020-09-29,"air_temperature","mem13",25.2299718221029
2020-09-29,"air_temperature","mem14",27.0476114908854
2020-09-29,"air_temperature","mem15",26.7359341939291
2020-09-29,"air_temperature","mem16",27.633125559489
2020-09-29,"air_temperature","mem17",22.9859596252442
2020-09-29,"air_temperature","mem18",25.308376566569
2020-09-29,"air_temperature","mem19",24.3714614868164
2020-09-29,"air_temperature","mem20",24.4478393554688
2020-09-29,"air_temperature","mem21",25.8618687947591
2020-09-29,"air_temperature","mem22",27.11740137736
2020-09-29,"air_temperature","mem23",24.571435546875
2020-09-29,"air_temperature","mem24",24.8378005981446
2020-09-29,"air_temperature","mem25",24.1669174194336
2020-09-29,"air_temperature","mem26",26.7036618550619
2020-09-29,"air_temperature","mem27",25.1691095987956
2020-09-29,"air_temperature","mem28",23.0682362874349
2020-09-29,"air_temperature","mem29",27.0717127482097
2020-09-29,"air_temperature","mem30",26.3568219502767
2020-09-30,"air_temperature","mem01",21.3720235188802
2020-09-30,"air_temperature","mem02",20.4430341084798
2020-09-30,"air_temperature","mem03",25.1621566772461
2020-09-30,"air_temperature","mem04",22.3996393839518
2020-09-30,"air_temperature","mem05",23.6343119303386
2020-09-30,"air_temperature","mem06",25.1320472717285
2020-09-30,"air_temperature","mem07",23.4381996154785
2020-09-30,"air_temperature","mem08",19.8924156188965
2020-09-30,"air_temperature","mem09",20.3358283996582
2020-09-30,"air_temperature","mem10",23.8514355977377
2020-09-30,"air_temperature","mem11",23.1563201904297
2020-09-30,"air_temperature","mem12",23.2129709879558
2020-09-30,"air_temperature","mem13",25.5125239054362
2020-09-30,"air_temperature","mem14",21.0074211120606
2020-09-30,"air_temperature","mem15",21.7481018066406
2020-09-30,"air_temperature","mem16",25.0869384765625
2020-09-30,"air_temperature","mem17",19.2915817260742
2020-09-30,"air_temperature","mem18",23.0374593098959
2020-09-30,"air_temperature","mem19",21.6603726704916
2020-09-30,"air_temperature","mem20",19.1884501139323
2020-09-30,"air_temperature","mem21",22.9593368530274
2020-09-30,"air_temperature","mem22",24.5865430196127
2020-09-30,"air_temperature","mem23",22.175309753418
2020-09-30,"air_temperature","mem24",21.1048408508301
2020-09-30,"air_temperature","mem25",18.9712412516276
2020-09-30,"air_temperature","mem26",25.2015841166179
2020-09-30,"air_temperature","mem27",21.7942977905274
2020-09-30,"air_temperature","mem28",18.9849143981934
2020-09-30,"air_temperature","mem29",27.6223566691081
2020-09-30,"air_temperature","mem30",24.5522031148275
2020-10-01,"air_temperature","mem01",21.1070788065593
2020-10-01,"air_temperature","mem02",19.2763865152995
2020-10-01,"air_temperature","mem03",22.9202425638835
2020-10-01,"air_temperature","mem04",20.6838915506999
2020-10-01,"air_temperature","mem05",21.7166241963705
2020-10-01,"air_temperature","mem06",23.2767819722494
2020-10-01,"air_temperature","mem07",22.7703859965007
2020-10-01,"air_temperature","mem08",21.3683601379395
2020-10-01,"air_temperature","mem09",21.876549021403
2020-10-01,"air_temperature","mem10",19.1112838745117
2020-10-01,"air_temperature","mem11",19.3673034667969
2020-10-01,"air_temperature","mem12",22.4924776713054
2020-10-01,"air_temperature","mem13",21.9252042134603
2020-10-01,"air_temperature","mem14",19.2326293945313
2020-10-01,"air_temperature","mem15",20.8000567118327
2020-10-01,"air_temperature","mem16",20.8060546875
2020-10-01,"air_temperature","mem17",20.4870760599772
2020-10-01,"air_temperature","mem18",21.9296089172364
2020-10-01,"air_temperature","mem19",22.779630279541
2020-10-01,"air_temperature","mem20",19.543967183431
2020-10-01,"air_temperature","mem21",21.3910372416179
2020-10-01,"air_temperature","mem22",21.567394510905
2020-10-01,"air_temperature","mem23",21.4496309916179
2020-10-01,"air_temperature","mem24",22.82380956014
2020-10-01,"air_temperature","mem25",18.9029200236003
2020-10-01,"air_temperature","mem26",19.4277982076009
2020-10-01,"air_temperature","mem27",21.1055491129558
2020-10-01,"air_temperature","mem28",19.8780545552572
2020-10-01,"air_temperature","mem29",25.95089747111
2020-10-01,"air_temperature","mem30",20.2393241882324
2020-10-02,"air_temperature","mem01",22.0518127441406
2020-10-02,"air_temperature","mem02",18.8105496724447
2020-10-02,"air_temperature","mem03",21.694056447347
2020-10-02,"air_temperature","mem04",20.1205777486166
2020-10-02,"air_temperature","mem05",21.7995836893718
2020-10-02,"air_temperature","mem06",22.5439595540365
2020-10-02,"air_temperature","mem07",20.3121658325196
2020-10-02,"air_temperature","mem08",22.1031941731771
2020-10-02,"air_temperature","mem09",23.3801399230957
2020-10-02,"air_temperature","mem10",21.2784820556641
2020-10-02,"air_temperature","mem11",20.1022773742676
2020-10-02,"air_temperature","mem12",22.9940505981446
2020-10-02,"air_temperature","mem13",21.2158574422201
2020-10-02,"air_temperature","mem14",22.1462773640951
2020-10-02,"air_temperature","mem15",22.0882113138835
2020-10-02,"air_temperature","mem16",21.155955251058
2020-10-02,"air_temperature","mem17",20.7398900349935
2020-10-02,"air_temperature","mem18",21.5326896667481
2020-10-02,"air_temperature","mem19",22.861651357015
2020-10-02,"air_temperature","mem20",22.5967994689942
2020-10-02,"air_temperature","mem21",22.8822367350261
2020-10-02,"air_temperature","mem22",19.5485219319662
2020-10-02,"air_temperature","mem23",24.277007039388
2020-10-02,"air_temperature","mem24",24.0621442159017
2020-10-02,"air_temperature","mem25",20.4677177429199
2020-10-02,"air_temperature","mem26",19.5595934549968
2020-10-02,"air_temperature","mem27",20.5566129048666
2020-10-02,"air_temperature","mem28",19.953515625
2020-10-02,"air_temperature","mem29",23.0002774556478
2020-10-02,"air_temperature","mem30",19.7917228698731
